Station,Date,Depth,NITRITE,NITRATE+NIT,AMMONIA,SILICATE,PHOSPHATE,Frozen,Filtered,QC
L4,22/07/2002,0,0.01,0.09,,0.1,0.09,y,n,n
L4,29/07/2002,0,0.13,0.25,,0.01,0.15,y,n,n
L4,05/08/2002,0,0.07,0.08,,0.32,0.11,y,n,n
L4,12/08/2002,0,0.05,0.71,,2.67,0.22,y,n,n
L4,19/08/2002,0,0.03,0.14,,2.58,0.32,y,n,n
L4,28/08/2002,0,0.03,0.15,,1.23,0.27,y,n,n
L4,02/09/2002,0,0.06,0.07,,1.6,0.22,y,n,n
L4,09/09/2002,0,0.05,0.26,,1.75,0.22,y,n,n
L4,16/09/2002,0,0.11,0.51,,1.58,0.36,y,n,n
L4,23/09/2002,0,0.14,1.3,,5.1,0.22,y,n,n
L4,30/09/2002,0,0.15,0.55,,1.63,0.35,y,n,n
L4,07/10/2002,0,0.23,0.87,,3.9,0.37,y,n,n
L4,14/10/2002,0,0.67,0.77,,2.88,0.31,y,n,n
L4,28/10/2002,0,0.54,1.25,,3.28,0.41,y,n,n
L4,04/11/2002,0,0.91,3.08,,3.4,0.65,y,n,n
L4,18/11/2002,0,0.34,6.46,,5.05,0.57,y,n,n
L4,25/11/2002,0,0.28,11.68,,6.41,0.66,y,n,n
L4,03/12/2002,0,0.05,5.01,,3.32,0.73,y,n,n
L4,16/12/2002,0,0.14,7.08,,6.19,0.62,y,n,n
L4,06/01/2003,0,0.03,7.66,0.03,4.4,0.66,y,n,n
L4,13/01/2003,0,0.12,12.21,0.03,5.26,0.73,y,n,n
L4,22/01/2003,0,0.15,7.07,0.12,5.63,0.95,y,n,n
L4,27/01/2003,0,0.14,12.21,0.03,7.44,0.77,y,n,n
L4,03/02/2003,0,0.1,9.03,0.03,6.94,0.67,y,n,n
L4,10/02/2003,0,0.14,10.66,0.03,6.7,0.85,y,n,n
L4,17/02/2003,0,0.16,8.72,0.75,7.41,0.73,y,n,n
L4,03/03/2003,0,0.32,6.81,0.03,2.5,0.72,y,n,n
L4,11/03/2003,0,0.31,9.11,0.21,5.1,,y,n,n
L4,17/03/2003,0,0.16,5.09,0.2,4.12,0.79,y,n,n
L4,31/03/2003,0,0.05,3.29,0.18,5.02,0.69,y,n,n
L4,07/04/2003,0,0.05,2.59,0.06,1.73,0.48,y,n,n
L4,14/04/2003,0,0.12,2.76,0.3,5.98,1.05,y,n,n
L4,22/04/2003,0,0.03,0.03,0.24,4.76,0.45,y,n,n
L4,07/05/2003,0,0.2,1.05,0.24,8.03,0.54,y,n,n
L4,12/05/2003,0,0,0,0.03,0.61,0.26,y,n,n
L4,19/05/2003,0,0,0.04,0.15,0.94,0.18,y,n,n
L4,28/05/2003,0,0,0.05,0.29,0.58,0.14,y,n,n
L4,02/06/2003,0,0,0.05,0.29,0.35,0.11,y,n,n
L4,09/06/2003,0,0,0.05,0.34,0.46,0.17,y,n,n
L4,16/06/2003,0,0,0.05,0.15,0.29,0.13,y,n,n
L4,23/06/2003,0,0,0.04,0.29,0.29,0.18,y,n,n
L4,30/06/2003,0,0,0.05,0.27,0.25,0.1,y,n,n
L4,07/07/2003,0,0,0.04,0.28,0.75,0.1,y,n,n
L4,14/07/2003,0,0,0,0.23,1.35,0.09,y,n,n
L4,21/07/2003,0,0,0.04,0.27,0.31,0.18,y,n,n
L4,28/07/2003,0,0,0,0.3,0.52,0.11,y,n,n
L4,04/08/2003,0,0,0.06,0.22,7.05,0.05,y,n,n
L4,11/08/2003,0,0,0.2,0.79,6.06,0.89,y,n,n
L4,20/08/2003,0,0,0.13,0.3,2.76,0.39,y,n,n
L4,27/08/2003,0,0,0.13,0.42,2.67,0.41,y,n,n
L4,02/09/2003,0,0.39,0.85,0.62,3.1,0.53,y,n,n
L4,11/09/2003,0,0.25,0.91,0.74,3.83,0.71,y,n,n
L4,15/09/2003,0,0.45,1.37,0.65,3.42,0.68,y,n,n
L4,24/09/2003,0,0.31,0.74,0.47,1.69,0.38,y,n,n
L4,29/09/2003,0,1.22,3.41,0.55,5.23,,y,n,n
L4,13/10/2003,0,0.41,1.86,0.63,2.28,0.53,y,n,n
L4,21/10/2003,0,0.8,2.85,0.9,2.69,0.73,y,n,n
L4,27/10/2003,0,1.04,4.11,0,2.97,0.51,y,n,n
L4,06/11/2003,0,1.08,5.04,0,6.99,0.47,y,n,n
L4,10/11/2003,0,1.02,5.33,0,8.29,0.42,y,n,n
L4,24/11/2003,0,0.07,5.59,0,3.38,0.51,y,n,n
L4,10/12/2003,0,0.07,6.13,0,3.9,0.51,y,n,n
L4,15/12/2003,0,0.22,7.95,0,4.44,0.58,y,n,n
L4,21/01/2004,0,0.17,9.81,0,4.37,0.58,y,n,n
L4,28/01/2004,0,0.24,11.36,0,8.9,0.63,y,n,n
L4,12/02/2004,0,0.55,10.8,0,7.91,0.69,y,n,n
L4,16/02/2004,0,0.33,8.83,0,10.38,0.58,y,n,n
L4,01/03/2004,0,0.31,6.91,0,3.44,0.43,y,n,n
L4,17/03/2004,0,0.34,8.12,0,4.13,0.45,y,n,n
L4,29/03/2004,0,0.27,6.73,0,3.35,0.44,y,n,n
L4,13/04/2004,0,0.14,1.81,0,1.34,0.36,y,n,n
L4,22/04/2004,0,0,0.07,0,0.79,0.26,y,n,n
L4,26/04/2004,0,0,0.03,0,1.27,0.13,y,n,n
L4,10/05/2004,0,0.05,0.13,0,0.81,0.07,y,n,n
L4,17/05/2004,0,0,0.05,0,0.28,0.03,y,n,n
L4,24/05/2004,0,0,0.04,0,0.64,0.4,y,n,n
L4,02/06/2004,0,0.11,0.17,0,0.46,0.12,y,n,n
L4,07/06/2004,0,0,0,0,0.29,0.15,y,n,n
L4,14/06/2004,0,0.07,0.45,0,1.07,0.21,y,n,n
L4,21/06/2004,0,0.06,0.08,0,0.94,0.14,y,n,n
L4,30/06/2004,0,0,0.04,0,0.24,0,y,n,n
L4,06/07/2004,0,0,0,0,0.21,0.04,y,n,n
L4,12/07/2004,0,0.07,0.33,0,0.89,0.22,y,n,n
L4,21/07/2004,0,0,0.03,0,0.22,0.05,y,n,n
L4,02/08/2004,0,0,0.03,0,0.48,0,y,n,n
L4,09/08/2004,0,0,0,0,0.78,0,y,n,n
L4,16/08/2004,0,0,0.85,,7.15,0.1,y,n,n
L4,25/08/2004,0,0.48,1.96,,9.65,0.15,y,n,n
L4,31/08/2004,0,0.04,0.35,,0.31,0.1,y,n,n
L4,06/09/2004,0,0,0.41,,0.87,0,y,n,n
L4,21/09/2004,0,0.35,3.71,,3.14,0.04,y,n,n
L4,27/09/2004,0,0.31,6.07,,4.27,0.14,y,n,n
L4,18/10/2004,0,0.77,10.01,,13.66,0.23,y,n,n
L4,26/10/2004,0,0.46,10.32,,10.3,0.26,y,n,n
L4,01/11/2004,0,0.3,9.28,,9.93,0.35,y,n,n
L4,09/11/2004,0,0.16,8.56,,7.98,0.3,y,n,n
L4,16/11/2004,0,0.17,10.19,,8.93,0.33,y,n,n
L4,23/11/2004,0,0.09,10.86,,8.91,0.38,y,n,n
L4,29/11/2004,0,0.12,6.5,0.58,,,y,n,n
L4,06/12/2004,0,0.32,14.93,0.65,7.66,0.52,y,y,y
L4,20/12/2004,0,0.07,6.85,0.07,4.35,0.48,y,y,y
L4,19/01/2005,0,0.05,7.55,0,,0.36,y,y,y
L4,24/01/2005,0,0.11,9.5,0.19,5.13,0.55,y,y,y
L4,15/02/2005,0,0.13,8.73,0.03,4.68,0.53,y,y,y
L4,04/05/2005,0,0.16,5.53,0.36,7.42,0.35,y,y,y
L4,09/05/2005,0,0.05,0.53,0.14,1.68,0.35,y,y,y
L4,16/05/2005,0,0.04,0.29,0.28,1.42,0.39,y,y,y
L4,01/06/2005,0,0.06,0.4,0.22,5.55,,y,y,y
L4,06/06/2005,0,0.03,0.55,0.09,5.49,0.43,y,y,y
L4,13/06/2005,0,0.03,0.21,0.23,5.39,0.37,y,y,y
L4,20/06/2005,0,0.05,0.39,0.09,4.23,0.34,y,y,y
L4,27/06/2005,0,0.03,0.36,0.11,3.86,0.26,y,y,y
L4,04/07/2005,0,0.04,0.18,0.3,4.85,0.3,y,y,y
L4,11/07/2005,0,0.03,0.12,0.11,3.89,0.24,y,y,y
L4,25/07/2005,0,0.03,0.11,0.29,0.78,0.21,y,y,y
L4,01/08/2005,0,0.04,0.49,2.35,6.27,0.2,y,y,y
L4,15/08/2005,0,0.04,0.5,0.13,2,0.36,y,y,y
L4,30/08/2005,0,0.03,0.32,0.02,2.36,0.23,y,y,y
L4,05/09/2005,0,0.06,0.07,0.03,2.99,0.06,y,y,y
L4,12/09/2005,0,0.02,0.72,0,,0.04,y,y,y
L4,19/09/2005,0,0.18,0.89,0,,0.04,y,y,y
L4,26/09/2005,0,0.4,1.44,0,,0.05,y,y,y
L4,03/10/2005,0,0.14,1.1,0,,0.04,y,y,y
L4,10/10/2005,0,0.19,3.56,0,,0.2,y,y,y
L4,17/10/2005,0,0.61,3.05,0,,0.15,y,y,y
L4,01/11/2005,0,0.62,,0.42,,0.43,y,y,y
L4,07/11/2005,0,0.17,5.47,0,,0.29,y,y,y
L4,15/11/2005,0,0.22,9.71,0.12,,0.38,y,y,y
L4,22/11/2005,0,0.05,6.15,0,,0.3,y,y,y
L4,05/12/2005,0,0.2,,0.13,,0.38,y,y,y
L4,12/12/2005,0,0.05,6.83,0,,0.31,y,y,y
L4,19/12/2005,0,0.1,8.35,0,,0.32,y,y,y
L4,28/12/2005,0,0.08,6.95,0,,,y,y,y
L4,16/01/2006,0,0.04,7.38,0.25,,0.32,y,y,y
L4,23/01/2006,0,0.03,6.78,0,,0.46,y,y,y
L4,02/02/2006,0,0.07,6.51,0.23,2.33,0.2,y,y,y
L4,06/02/2006,0,0.12,8.72,0.28,4.22,,y,y,y
L4,13/02/2006,0,0.13,4.41,0.28,2.24,0.59,y,y,y
L4,21/02/2006,0,0.14,4.55,0.23,2.09,0.43,y,y,y
L4,27/02/2006,0,0.17,5.87,0.23,3.05,0.44,y,y,y
L4,06/03/2006,0,0.24,6.98,0.46,3.44,0.58,y,y,y
L4,15/03/2006,0,0.24,5.59,0.39,2.77,0.53,y,y,y
L4,20/03/2006,0,0.26,5.8,0.69,3.07,0.48,y,y,y
L4,29/03/2006,0,0.23,5.06,0.42,2.11,0.43,y,y,y
L4,03/04/2006,0,0.27,10.12,0.94,3.81,0.55,y,y,y
L4,11/04/2006,0,0.08,0.3,0.48,0.37,0.2,y,y,y
L4,18/04/2006,0,0.02,0.28,0.4,0.23,0.1,y,y,y
L4,04/05/2006,0,0.01,0.32,0.37,0.23,0.13,y,y,y
L4,08/05/2006,0,0.19,4.64,0.58,2.39,0.39,y,y,y
L4,15/05/2006,0,0.1,1.84,0.73,2.94,0.42,y,y,y
L4,23/05/2006,0,0.1,0.91,1.26,1.26,0.38,y,y,y
L4,06/06/2006,0,0.03,0.27,0.57,0.18,0.15,y,y,y
L4,12/06/2006,0,0.01,0.27,0.51,0.14,0.18,y,y,y
L4,20/06/2006,0,0.01,0.35,0.38,0.25,0.16,y,y,y
L4,27/06/2006,0,0.04,0.43,0.53,0.29,0.16,y,y,y
L4,03/07/2006,0,0.12,0.19,0.27,0.5,0.09,y,y,y
L4,17/07/2006,0,0.04,0.16,0.26,0.52,0.13,y,y,y
L4,17/07/2006,0,0.02,0.1,0.27,0.56,0.13,y,y,y
L4,07/08/2006,0,0.05,0.38,0.12,1.45,0.13,y,y,y
L4,14/08/2006,0,0.01,0.16,0.21,2.17,0.2,y,y,y
L4,21/08/2006,0,0.02,0.54,0.39,2.91,0.34,y,y,y
L4,29/08/2006,0,0.24,0.32,1.01,2.39,0.23,y,y,y
L4,29/08/2006,0,0.24,0.38,1.02,2.4,0.23,y,y,y
L4,04/09/2006,0,0.02,0.15,0.34,0.92,0.1,y,y,y
L4,04/09/2006,0,0.03,0.2,0.29,0.93,0.11,y,y,y
L4,12/09/2006,0,0.03,0.2,1.24,2.45,0.2,y,y,y
L4,25/09/2006,0,0.04,0.42,2.95,3.94,0.26,y,y,y
L4,25/09/2006,0,0.04,0.6,4.14,4.08,0.42,y,y,y
L4,03/10/2006,0,0.15,0.76,1.26,7.22,0.23,y,y,y
L4,09/10/2006,0,0.25,1.48,0.72,5.61,0.21,y,y,y
L4,30/10/2006,0,1.25,7.19,0.79,9.47,0.38,y,y,y
L4,06/11/2006,0,0.45,3.24,0.26,3.87,0.33,y,y,y
L4,06/11/2006,0,0.45,3.18,0.29,3.84,0.33,y,y,y
L4,12/12/2006,0,0.04,5.2,0.22,4.57,0.39,n,n,y
L4,12/12/2006,0,0.04,5.19,0.28,4.69,0.39,n,n,y
L4,12/12/2006,0,0.04,5.2,0.22,4.57,0.39,n,y,y
L4,12/12/2006,0,0.04,5.19,0.28,4.69,0.39,n,y,y
L4,15/01/2007,0,0.07,4.12,0.32,3.52,0.4,n,n,y
L4,15/01/2007,0,0.07,4.13,0.33,3.53,0.4,n,n,y
L4,15/01/2007,0,0.06,4.29,0.45,3.51,0.42,n,y,y
L4,15/01/2007,0,0.06,4.42,0.35,3.53,0.41,n,y,y
L4,22/01/2007,0,0.1,,0.69,4.14,0.37,n,n,y
L4,22/01/2007,0,0.1,,0.66,4.17,0.4,n,n,y
L4,22/01/2007,0,0.08,,0.65,4.15,0.4,n,y,y
L4,22/01/2007,0,0.08,,0.7,4.19,0.4,n,y,y
L4,29/01/2007,0,0.19,11.4,0.46,5.92,0.41,n,n,y
L4,29/01/2007,0,0.2,11.52,0.36,5.9,0.44,n,n,y
L4,29/01/2007,0,0.18,11.63,0.42,5.89,0.43,n,y,y
L4,29/01/2007,0,0.18,11.59,,5.9,0.45,y,y,y
L4,05/02/2007,0,0.14,4.87,0.44,3.94,0.42,y,n,y
L4,05/02/2007,0,0.14,4.9,0.47,4,0.44,y,n,y
L4,05/02/2007,0,0.14,5.35,0.54,3.97,0.44,y,y,y
L4,05/02/2007,0,0.13,5.34,0.54,3.94,0.44,n,y,y
L4,16/02/2007,0,0.25,4.87,0.19,4.07,0.5,y,n,y
L4,16/02/2007,0,0.26,5.19,0.1,4.19,0.52,y,n,y
L4,16/02/2007,0,0.25,5.11,0.16,4.22,0.65,n,y,y
L4,16/02/2007,0,0.25,5.09,0.16,4.18,0.65,n,y,y
L4,20/02/2007,0,0.28,6.6,0.7,4.33,0.48,n,n,y
L4,20/02/2007,0,0.28,6.61,0.7,4.35,0.52,n,n,y
L4,20/02/2007,0,0.27,5.3,0.55,4.42,,n,y,y
L4,20/02/2007,0,0.28,5.38,0.66,4.51,,n,y,y
L4,26/02/2007,0,0.32,7.75,0.16,4.96,0.48,n,n,y
L4,26/02/2007,0,0.33,7.77,0.15,4.98,0.52,n,n,y
L4,26/02/2007,0,0.3,7.77,0.28,5.08,0.49,n,y,y
L4,26/02/2007,0,0.29,7.67,0.2,5.03,0.49,n,y,y
L4,12/03/2007,0,0.29,7.16,0.45,5.46,0.49,n,n,y
L4,12/03/2007,0,0.28,7.08,0.39,5.49,0.49,n,n,y
L4,12/03/2007,0,0.25,7,0.29,5.36,0.41,n,y,y
L4,12/03/2007,0,0.25,7.13,0.36,5.41,0.44,n,y,y
L4,20/03/2007,0,0.23,5.37,0.21,4.35,,n,n,y
L4,20/03/2007,0,0.23,5.45,0.2,4.37,,n,n,y
L4,20/03/2007,0,0.27,5.94,0.34,4.37,,n,y,y
L4,20/03/2007,0,0.27,5.89,0.36,4.34,,n,y,y
L4,26/03/2007,0,0.22,5.71,0.24,4.2,0.38,y,n,y
L4,26/03/2007,0,0.22,5.77,0.18,4.25,0.4,y,n,y
L4,26/03/2007,0,0.21,5.87,0.42,4.16,0.4,n,y,y
L4,26/03/2007,0,0.21,5.86,0.42,4.2,0.41,n,y,y
L4,10/04/2007,0,0.18,3.18,0.03,3.91,0.25,n,n,y
L4,10/04/2007,0,0.18,3.32,0.09,4.02,0.29,n,n,y
L4,10/04/2007,0,0.18,3.35,0.4,3.98,0.25,n,y,y
L4,10/04/2007,0,0.18,3.48,0.91,3.98,0.26,n,y,y
L4,16/04/2007,0,0.07,0.98,0.07,3.22,0.1,n,n,y
L4,16/04/2007,0,0.07,1.02,0.16,3.25,0.11,n,n,y
L4,16/04/2007,0,0.06,1.13,0.61,3.33,0.11,n,y,y
L4,16/04/2007,0,0.06,1.23,0.83,3.31,0.11,n,y,y
L4,23/04/2007,0,0.11,1.4,0.03,1.66,0.12,n,n,y
L4,23/04/2007,0,0.11,1.41,0.03,1.66,0.12,y,n,y
L4,23/04/2007,0,0.11,1.42,0.23,1.72,0.14,n,y,y
L4,23/04/2007,0,0.1,1.45,0.2,1.68,0.14,n,y,y
L4,30/04/2007,0,0.06,0.11,0.39,0.7,0.03,y,n,y
L4,30/04/2007,0,0.03,0.11,0.55,0.73,0.04,n,y,y
L4,08/05/2007,0,0.02,0.03,0.22,,0.04,n,n,y
L4,08/05/2007,0,0.02,0.03,0.24,,0.05,n,n,y
L4,08/05/2007,0,0.02,0.03,0.28,,0.05,n,y,y
L4,08/05/2007,0,0.02,0.03,0.29,,0.04,n,y,y
L4,21/05/2007,0,0.08,1.13,1.01,,0.12,n,n,y
L4,21/05/2007,0,0.08,1.17,1.06,,0.13,n,n,y
L4,21/05/2007,0,0.06,0.97,0.93,,0.12,n,y,y
L4,21/05/2007,0,0.07,1.06,0.99,,0.12,n,y,y
L4,04/06/2007,0,0.05,0.56,0.31,1.02,0.03,n,n,y
L4,04/06/2007,0,0.04,0.53,0.33,1.01,0.03,n,n,y
L4,04/06/2007,0,0.03,0.45,0.26,1.03,0.03,n,y,y
L4,04/06/2007,0,0.04,0.44,0.23,1.06,0.03,n,y,y
L4,11/06/2007,0,0.06,2.14,0.39,0.61,0.05,n,n,y
L4,11/06/2007,0,0.06,2.13,0.4,0.58,0.052,n,n,y
L4,11/06/2007,0,,1.32,0.18,0.68,0.035,n,y,y
L4,11/06/2007,0,,1.71,0.24,0.61,0.042,n,y,y
L4,18/06/2007,0,0.02,0.03,0.03,0.33,0.04,n,n,y
L4,18/06/2007,0,0.02,0.03,0.03,0.34,0.04,n,n,y
L4,18/06/2007,0,0.02,0.04,0.03,0.34,0.04,n,y,y
L4,18/06/2007,0,0.02,0.04,0.03,0.34,0.04,n,y,y
L4,25/06/2007,0,0.02,0.04,0.08,0.3,0.03,n,n,y
L4,25/06/2007,0,0.02,0.05,0.11,0.34,0.03,n,n,y
L4,25/06/2007,0,0.02,0.09,0.46,0.27,0.03,n,y,y
L4,25/06/2007,0,0.02,0.07,0.4,0.26,0.03,n,y,y
L4,03/07/2007,0,0.02,0.03,0.03,0.25,0.04,n,n,y
L4,03/07/2007,0,0.02,0.03,0.03,0.21,0.04,n,n,y
L4,03/07/2007,0,0.02,0.06,0.14,0.24,0.03,n,y,y
L4,03/07/2007,0,0.02,0.07,0.18,0.22,0.04,n,y,y
L4,09/07/2007,0,0.03,1.65,0.5,0.32,0.03,n,n,y
L4,09/07/2007,0,0.03,1.22,0.36,0.31,0.03,n,n,y
L4,09/07/2007,0,,2.13,0.45,0.31,,n,y,y
L4,09/07/2007,0,,2.11,0.45,0.3,,n,y,y
L4,16/07/2007,0,0.02,0.03,0.03,0.11,0.04,n,n,y
L4,16/07/2007,0,0.02,0.03,0.03,0.11,0.03,n,n,y
L4,16/07/2007,0,,,,,,n,y,y
L4,16/07/2007,0,,,,,,n,y,y
L4,23/07/2007,0,0.02,0.03,0.03,,0.03,n,n,y
L4,23/07/2007,0,0.02,0.03,,,0.03,n,n,y
L4,23/07/2007,0,,,,,,n,y,y
L4,23/07/2007,0,,,,,,n,y,y
L4,30/07/2007,0,0.02,0.03,0.81,0.93,0.03,n,n,y
L4,30/07/2007,0,0.02,0.03,0.8,0.94,0.03,n,n,y
L4,30/07/2007,0,,,,,,n,y,y
L4,30/07/2007,0,,,,,,n,y,y
L4,06/08/2007,0,0.02,0.09,0.24,1.39,0.03,n,n,y
L4,06/08/2007,0,0.02,0.11,0.21,1.34,0.03,n,n,y
L4,06/08/2007,0,0.02,0.27,0.4,1.34,0.03,n,y,y
L4,06/08/2007,0,,,,,,n,y,y
L4,13/08/2007,0,0.05,0.22,0.28,1.94,0.03,n,n,y
L4,13/08/2007,0,0.07,0.21,0.26,1.88,0.03,n,n,y
L4,13/08/2007,0,,,,,,n,y,y
L4,13/08/2007,0,,,,,,n,y,y
L4,20/08/2007,0,0.37,1.59,0.25,2.87,0.13,n,n,y
L4,20/08/2007,0,0.37,1.6,0.27,2.9,0.13,n,n,y
L4,20/08/2007,0,0.39,1.64,0.28,2.92,0.11,n,y,y
L4,20/08/2007,0,0.38,1.69,0.26,2.93,0.12,n,y,y
L4,28/08/2007,0,0.05,0.11,0.2,2.55,0.04,n,n,y
L4,28/08/2007,0,0.05,0.11,0.19,2.56,0.04,n,n,y
L4,28/08/2007,0,0.04,0.12,0.23,2.57,0.03,n,y,y
L4,28/08/2007,0,0.05,0.12,,2.58,0.03,n,y,y
L4,03/09/2007,0,,0.13,0.14,1.13,0.02,n,n,y
L4,03/09/2007,0,,0.12,0.14,1.11,0.02,n,n,y
L4,03/09/2007,0,0.07,0.22,0.57,1.23,0.01,n,y,y
L4,03/09/2007,0,,0.23,0.55,1.28,0.02,n,y,y
L4,10/09/2007,0,0.06,0.08,0.15,1.73,0.06,n,n,y
L4,10/09/2007,0,0.06,0.08,0.2,1.7,0.06,n,n,y
L4,10/09/2007,0,,,,,,n,y,y
L4,10/09/2007,0,,,,,,n,y,y
L4,17/09/2007,0,0.16,0.76,0.49,2.13,0.15,n,n,y
L4,17/09/2007,0,0.16,0.75,0.5,2.15,0.15,n,n,y
L4,17/09/2007,0,0.15,0.76,0.49,2.18,0.11,n,y,y
L4,17/09/2007,0,0.15,0.78,0.48,2.16,0.12,n,y,y
L4,28/09/2007,0,0.27,1.35,0.12,2.33,0.16,n,n,y
L4,28/09/2007,0,0.27,1.35,0.11,2.33,0.16,n,n,y
L4,28/09/2007,0,0.26,1.35,0.1,2.36,0.13,n,y,y
L4,28/09/2007,0,0.26,1.39,0.13,2.36,0.15,n,y,y
L4,02/10/2007,0,0.58,2.71,0.29,2.89,0.2,n,n,y
L4,02/10/2007,0,0.58,2.7,0.29,2.92,0.2,n,n,y
L4,02/10/2007,0,0.56,2.62,0.3,2.96,0.18,n,y,y
L4,02/10/2007,0,0.57,2.73,0.29,2.93,0.2,n,y,y
L4,08/10/2007,0,0.7,2.58,0.18,2.67,0.21,n,n,y
L4,08/10/2007,0,0.71,2.58,0.19,2.65,0.21,n,n,y
L4,08/10/2007,0,0.68,2.57,0.21,2.66,0.19,n,y,y
L4,08/10/2007,0,0.69,2.58,0.19,2.66,0.2,n,y,y
L4,25/10/2007,0,0.95,2.45,0.2,2.61,0.19,n,n,y
L4,25/10/2007,0,0.98,2.58,0.27,2.69,0.3,n,n,y
L4,25/10/2007,0,0.99,2.82,1.4,2.77,0.22,n,y,y
L4,25/10/2007,0,0.98,2.73,0.79,2.8,0.34,n,y,y
L4,30/10/2007,0,1.11,3.6,0.17,3.54,0.27,n,n,y
L4,30/10/2007,0,1.12,3.61,0.18,3.54,0.27,n,n,y
L4,30/10/2007,0,1.09,3.9,0.51,3.64,0.26,n,y,y
L4,30/10/2007,0,1.1,3.68,0.39,3.6,0.27,n,y,y
